total key:5240
Qtable's state : 13	 , action : South	,key's item : 0
Qtable's state : 23	 , action : West	,key's item : 0
Qtable's state : 23	 , action : Stop	,key's item : -0.9
Qtable's state : 23	 , action : North	,key's item : 0
Qtable's state : 23	 , action : South	,key's item : 0
Qtable's state : 23	 , action : West	,key's item : -0.9
Qtable's state : 23	 , action : Stop	,key's item : 0
Qtable's state : 23	 , action : North	,key's item : 0
Qtable's state : 23	 , action : South	,key's item : 0
Qtable's state : 13	 , action : Stop	,key's item : 0
Qtable's state : 13	 , action : East	,key's item : -0.9
Qtable's state : 13	 , action : North	,key's item : 0
Qtable's state : 13	 , action : South	,key's item : 0
Qtable's state : 23	 , action : West	,key's item : 0
Qtable's state : 23	 , action : Stop	,key's item : -0.9
Qtable's state : 23	 , action : North	,key's item : -0.9
Qtable's state : 23	 , action : South	,key's item : 0
Qtable's state : 23	 , action : West	,key's item : 0
Qtable's state : 23	 , action : Stop	,key's item : -450.90000000000003
Qtable's state : 23	 , action : North	,key's item : 0
Qtable's state : 23	 , action : South	,key's item : 0
Qtable's state : 15	 , action : East	,key's item : 6.9533899999263715
Qtable's state : 25	 , action : West	,key's item : -0.9999
Qtable's state : 25	 , action : Stop	,key's item : -0.9
Qtable's state : 25	 , action : East	,key's item : -0.9
Qtable's state : 25	 , action : South	,key's item : 8.991
Qtable's state : 15	 , action : Stop	,key's item : -0.9
Qtable's state : 15	 , action : East	,key's item : -0.9
Qtable's state : 15	 , action : South	,key's item : -0.9
Qtable's state : 14	 , action : Stop	,key's item : 0
Qtable's state : 14	 , action : East	,key's item : 0
Qtable's state : 14	 , action : North	,key's item : 0
Qtable's state : 14	 , action : South	,key's item : -0.9
Qtable's state : 13	 , action : Stop	,key's item : 0
Qtable's state : 13	 , action : East	,key's item : 0
Qtable's state : 13	 , action : North	,key's item : -0.9
Qtable's state : 13	 , action : South	,key's item : 0
Qtable's state : 14	 , action : Stop	,key's item : 0
Qtable's state : 14	 , action : East	,key's item : 8.1
Qtable's state : 14	 , action : North	,key's item : 0
Qtable's state : 14	 , action : South	,key's item : 0
Qtable's state : 24	 , action : West	,key's item : 0
Qtable's state : 24	 , action : Stop	,key's item : 0
Qtable's state : 24	 , action : North	,key's item : 0
Qtable's state : 24	 , action : South	,key's item : -0.9
Qtable's state : 23	 , action : West	,key's item : -0.9
Qtable's state : 23	 , action : Stop	,key's item : 0
Qtable's state : 23	 , action : North	,key's item : 0
Qtable's state : 23	 , action : South	,key's item : 0
Qtable's state : 13	 , action : Stop	,key's item : -0.9
Qtable's state : 13	 , action : East	,key's item : 0
Qtable's state : 13	 , action : North	,key's item : 0
Qtable's state : 13	 , action : South	,key's item : 0
Qtable's state : 13	 , action : Stop	,key's item : 0
Qtable's state : 13	 , action : East	,key's item : 0
Qtable's state : 13	 , action : North	,key's item : 0
Qtable's state : 13	 , action : South	,key's item : -0.9
Qtable's state : 12	 , action : Stop	,key's item : 0
Qtable's state : 12	 , action : East	,key's item : 0
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : -0.9
Qtable's state : 11	 , action : Stop	,key's item : 0
Qtable's state : 11	 , action : East	,key's item : -0.9
Qtable's state : 11	 , action : North	,key's item : 0
Qtable's state : 21	 , action : West	,key's item : 0
Qtable's state : 21	 , action : Stop	,key's item : 0
Qtable's state : 21	 , action : East	,key's item : -0.9
Qtable's state : 21	 , action : North	,key's item : 0
Qtable's state : 31	 , action : West	,key's item : 0
Qtable's state : 31	 , action : Stop	,key's item : -0.9
Qtable's state : 31	 , action : East	,key's item : 0
Qtable's state : 31	 , action : West	,key's item : 0
Qtable's state : 31	 , action : Stop	,key's item : -0.9
Qtable's state : 31	 , action : East	,key's item : 0
Qtable's state : 31	 , action : West	,key's item : -0.9
Qtable's state : 31	 , action : Stop	,key's item : 0
Qtable's state : 31	 , action : East	,key's item : 0
Qtable's state : 21	 , action : West	,key's item : 0
Qtable's state : 21	 , action : Stop	,key's item : 0
Qtable's state : 21	 , action : East	,key's item : 0
Qtable's state : 21	 , action : North	,key's item : 8.1
Qtable's state : 22	 , action : West	,key's item : 0
Qtable's state : 22	 , action : Stop	,key's item : -0.9
Qtable's state : 22	 , action : North	,key's item : 0
Qtable's state : 22	 , action : South	,key's item : -0.9
Qtable's state : 22	 , action : West	,key's item : -0.9
Qtable's state : 22	 , action : Stop	,key's item : 0
Qtable's state : 22	 , action : North	,key's item : 0
Qtable's state : 22	 , action : South	,key's item : 0
Qtable's state : 12	 , action : Stop	,key's item : 0
Qtable's state : 12	 , action : East	,key's item : 0
Qtable's state : 12	 , action : North	,key's item : -0.9
Qtable's state : 12	 , action : South	,key's item : 0
Qtable's state : 13	 , action : Stop	,key's item : 0
Qtable's state : 13	 , action : East	,key's item : 0
Qtable's state : 13	 , action : North	,key's item : 0
Qtable's state : 13	 , action : South	,key's item : -0.9
Qtable's state : 12	 , action : Stop	,key's item : -0.9
Qtable's state : 12	 , action : East	,key's item : 0
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : 0
Qtable's state : 12	 , action : Stop	,key's item : 0
Qtable's state : 12	 , action : East	,key's item : -0.9
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : 0
Qtable's state : 22	 , action : West	,key's item : 0
Qtable's state : 22	 , action : Stop	,key's item : 0
Qtable's state : 22	 , action : North	,key's item : -0.9
Qtable's state : 22	 , action : South	,key's item : 0
Qtable's state : 23	 , action : West	,key's item : -0.9
Qtable's state : 23	 , action : Stop	,key's item : 0
Qtable's state : 23	 , action : North	,key's item : 0
Qtable's state : 23	 , action : South	,key's item : 0
Qtable's state : 13	 , action : Stop	,key's item : -0.9
Qtable's state : 13	 , action : East	,key's item : 0
Qtable's state : 13	 , action : North	,key's item : 0
Qtable's state : 13	 , action : South	,key's item : 0
Qtable's state : 13	 , action : Stop	,key's item : 0
Qtable's state : 13	 , action : East	,key's item : 0
Qtable's state : 13	 , action : North	,key's item : 0
Qtable's state : 13	 , action : South	,key's item : -0.9
Qtable's state : 12	 , action : Stop	,key's item : -0.9
Qtable's state : 12	 , action : East	,key's item : 0
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : 0
Qtable's state : 12	 , action : Stop	,key's item : 0
Qtable's state : 12	 , action : East	,key's item : -0.9
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : 0
Qtable's state : 22	 , action : West	,key's item : -0.9
Qtable's state : 22	 , action : Stop	,key's item : 0
Qtable's state : 22	 , action : North	,key's item : 0
Qtable's state : 22	 , action : South	,key's item : 0
Qtable's state : 12	 , action : Stop	,key's item : -0.9
Qtable's state : 12	 , action : East	,key's item : 0
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : 0
Qtable's state : 12	 , action : Stop	,key's item : -0.9
Qtable's state : 12	 , action : East	,key's item : 0
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : 0
Qtable's state : 12	 , action : Stop	,key's item : 0
Qtable's state : 12	 , action : East	,key's item : 0
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : -0.9
Qtable's state : 11	 , action : Stop	,key's item : -0.9
Qtable's state : 11	 , action : East	,key's item : 0
Qtable's state : 11	 , action : North	,key's item : 0
Qtable's state : 11	 , action : Stop	,key's item : -0.9
Qtable's state : 11	 , action : East	,key's item : 0
Qtable's state : 11	 , action : North	,key's item : 0
Qtable's state : 11	 , action : Stop	,key's item : 0
Qtable's state : 11	 , action : East	,key's item : -0.9
Qtable's state : 11	 , action : North	,key's item : 0
Qtable's state : 21	 , action : West	,key's item : 0
Qtable's state : 21	 , action : Stop	,key's item : -0.9
Qtable's state : 21	 , action : East	,key's item : 0
Qtable's state : 21	 , action : North	,key's item : 0
Qtable's state : 21	 , action : West	,key's item : 0
Qtable's state : 21	 , action : Stop	,key's item : 0
Qtable's state : 21	 , action : East	,key's item : 0
Qtable's state : 21	 , action : North	,key's item : -0.9
Qtable's state : 22	 , action : West	,key's item : 0
Qtable's state : 22	 , action : Stop	,key's item : -0.9
Qtable's state : 22	 , action : North	,key's item : 0
Qtable's state : 22	 , action : South	,key's item : 0
Qtable's state : 22	 , action : West	,key's item : 0
Qtable's state : 22	 , action : Stop	,key's item : 0
Qtable's state : 22	 , action : North	,key's item : -0.9
Qtable's state : 22	 , action : South	,key's item : 0
Qtable's state : 23	 , action : West	,key's item : 0
Qtable's state : 23	 , action : Stop	,key's item : 0
Qtable's state : 23	 , action : North	,key's item : -0.9
Qtable's state : 23	 , action : South	,key's item : 0
Qtable's state : 24	 , action : West	,key's item : 0
Qtable's state : 24	 , action : Stop	,key's item : -0.9
Qtable's state : 24	 , action : North	,key's item : 0
Qtable's state : 24	 , action : South	,key's item : 0
Qtable's state : 24	 , action : West	,key's item : 0
Qtable's state : 24	 , action : Stop	,key's item : 0
Qtable's state : 24	 , action : North	,key's item : 0
Qtable's state : 24	 , action : South	,key's item : -0.9
Qtable's state : 23	 , action : West	,key's item : 0
Qtable's state : 23	 , action : Stop	,key's item : 0
Qtable's state : 23	 , action : North	,key's item : 0
Qtable's state : 23	 , action : South	,key's item : -0.9
