total key:6881
Qtable's state : 25	 , action : Stop	,key's item : -0.76390656
Qtable's state : 25	 , action : East	,key's item : -0.744
Qtable's state : 25	 , action : West	,key's item : -0.984
Qtable's state : 25	 , action : Stop	,key's item : -0.744
Qtable's state : 25	 , action : East	,key's item : -0.11645835263999998
Qtable's state : 15	 , action : Stop	,key's item : -0.8891519999999999
Qtable's state : 15	 , action : East	,key's item : -0.6
Qtable's state : 15	 , action : South	,key's item : -0.984
Qtable's state : 25	 , action : West	,key's item : -0.6
Qtable's state : 25	 , action : Stop	,key's item : -0.6
Qtable's state : 25	 , action : East	,key's item : -0.84768
Qtable's state : 25	 , action : West	,key's item : -468.936
Qtable's state : 25	 , action : Stop	,key's item : -1.00128
Qtable's state : 25	 , action : East	,key's item : -0.84768
Qtable's state : 25	 , action : West	,key's item : 0.32219716846025076
Qtable's state : 25	 , action : Stop	,key's item : -1.9904067377584456
Qtable's state : 25	 , action : East	,key's item : -2.07472236071659
Qtable's state : 14	 , action : Stop	,key's item : -0.7258066727217745
Qtable's state : 14	 , action : North	,key's item : -1.4880790540741797
Qtable's state : 14	 , action : South	,key's item : 3.090993422833973
Qtable's state : 15	 , action : Stop	,key's item : -1.361926241943552
Qtable's state : 15	 , action : East	,key's item : -1.422930916048896
Qtable's state : 15	 , action : South	,key's item : -0.4702437693960848
Qtable's state : 25	 , action : West	,key's item : -1.484107075584
Qtable's state : 25	 , action : Stop	,key's item : -1.32150528
Qtable's state : 25	 , action : East	,key's item : -0.6130821426905089
Qtable's state : 15	 , action : Stop	,key's item : -1.4190720000000001
Qtable's state : 15	 , action : East	,key's item : -1.3965284352
Qtable's state : 15	 , action : South	,key's item : -1.298686464
Qtable's state : 15	 , action : Stop	,key's item : -1.406688350208
Qtable's state : 15	 , action : East	,key's item : -1.30272
Qtable's state : 15	 , action : South	,key's item : -1.2743807999999999
Qtable's state : 25	 , action : West	,key's item : -1.032
Qtable's state : 25	 , action : Stop	,key's item : -1.181766144
Qtable's state : 25	 , action : East	,key's item : -0.995904
Qtable's state : 25	 , action : West	,key's item : -0.984
Qtable's state : 25	 , action : Stop	,key's item : -1.089858048
Qtable's state : 25	 , action : East	,key's item : -1.0627199999999999
Qtable's state : 35	 , action : West	,key's item : -0.95523072
Qtable's state : 35	 , action : Stop	,key's item : -1.178706432
Qtable's state : 35	 , action : East	,key's item : -343.8864
Qtable's state : 35	 , action : West	,key's item : -1.2374125246473326
Qtable's state : 35	 , action : Stop	,key's item : -300.59999999999997
Qtable's state : 35	 , action : East	,key's item : -372.74399999999997
Qtable's state : 45	 , action : West	,key's item : -1.6816773992111753
Qtable's state : 45	 , action : Stop	,key's item : -1.6798257530363578
Qtable's state : 45	 , action : East	,key's item : -1.6441212949343442
Qtable's state : 45	 , action : West	,key's item : -1.5334727112690554
Qtable's state : 45	 , action : Stop	,key's item : -1.5490130084932718
Qtable's state : 45	 , action : East	,key's item : -1.6021895050783705
Qtable's state : 45	 , action : West	,key's item : -1.1800961920459403
Qtable's state : 45	 , action : Stop	,key's item : -1.35631620096
Qtable's state : 45	 , action : East	,key's item : -1.1655603076949608
Qtable's state : 55	 , action : West	,key's item : -0.9390236273541119
Qtable's state : 55	 , action : Stop	,key's item : -1.08
Qtable's state : 55	 , action : South	,key's item : -0.9317335474176
Qtable's state : 45	 , action : West	,key's item : -1.08
Qtable's state : 45	 , action : Stop	,key's item : -0.94402996224
Qtable's state : 45	 , action : East	,key's item : -0.9057408
Qtable's state : 55	 , action : West	,key's item : -0.49669171199999995
Qtable's state : 55	 , action : Stop	,key's item : -420.84
Qtable's state : 55	 , action : South	,key's item : -180.35999999999999
Qtable's state : 15	 , action : Stop	,key's item : -2.728868941217965
Qtable's state : 15	 , action : East	,key's item : -2.6466507197945384
Qtable's state : 15	 , action : South	,key's item : -2.7089994013042986
Qtable's state : 14	 , action : Stop	,key's item : -2.549867076172795
Qtable's state : 14	 , action : North	,key's item : -2.515356856885028
Qtable's state : 14	 , action : South	,key's item : -2.5092838560270305
Qtable's state : 13	 , action : Stop	,key's item : -470.71539181338625
Qtable's state : 13	 , action : North	,key's item : -2.524995617356606
Qtable's state : 13	 , action : South	,key's item : -496.78251391401983
Qtable's state : 45	 , action : West	,key's item : -1.767069559422675
Qtable's state : 45	 , action : Stop	,key's item : -1.7892101124121986
Qtable's state : 45	 , action : East	,key's item : -1.8014545702360245
Qtable's state : 55	 , action : West	,key's item : -1.4857853383016446
Qtable's state : 55	 , action : Stop	,key's item : -1.491796982860344
Qtable's state : 55	 , action : South	,key's item : -1.4994832383347063
Qtable's state : 55	 , action : West	,key's item : -1.5046451393282751
Qtable's state : 55	 , action : Stop	,key's item : -1.494996390660073
Qtable's state : 55	 , action : South	,key's item : -300.84
Qtable's state : 54	 , action : Stop	,key's item : -0.6
Qtable's state : 54	 , action : North	,key's item : -0.744
Qtable's state : 54	 , action : South	,key's item : 0
Qtable's state : 54	 , action : Stop	,key's item : -0.79368972288
Qtable's state : 54	 , action : North	,key's item : -0.744
Qtable's state : 54	 , action : South	,key's item : -0.84
Qtable's state : 53	 , action : West	,key's item : -300.59999999999997
Qtable's state : 53	 , action : Stop	,key's item : 0
Qtable's state : 53	 , action : North	,key's item : -0.6
Qtable's state : 53	 , action : South	,key's item : 0
Qtable's state : 35	 , action : West	,key's item : -2.2533551692458826
Qtable's state : 35	 , action : Stop	,key's item : -2.2401549637471856
Qtable's state : 35	 , action : East	,key's item : -2.233031556222896
Qtable's state : 25	 , action : West	,key's item : -2.032325674349712
Qtable's state : 25	 , action : Stop	,key's item : -2.027040801247371
Qtable's state : 25	 , action : East	,key's item : -1.9701076170018637
Qtable's state : 25	 , action : West	,key's item : -2.183664499108073
Qtable's state : 25	 , action : Stop	,key's item : -2.131885252173157
Qtable's state : 25	 , action : East	,key's item : -2.109316447956415
Qtable's state : 35	 , action : West	,key's item : -2.3999999905744085
Qtable's state : 35	 , action : Stop	,key's item : -2.3847723374226324
Qtable's state : 35	 , action : East	,key's item : -2.378834093504155
Qtable's state : 45	 , action : West	,key's item : -2.144191096123724
Qtable's state : 45	 , action : Stop	,key's item : -2.1715538224348925
Qtable's state : 45	 , action : East	,key's item : -2.1101423896558376
Qtable's state : 35	 , action : West	,key's item : -449.69759999999997
Qtable's state : 35	 , action : Stop	,key's item : -2.2690868442995162
Qtable's state : 35	 , action : East	,key's item : -2.2446582313587657
Qtable's state : 45	 , action : West	,key's item : -484.3087334707175
Qtable's state : 45	 , action : Stop	,key's item : -2.699584087452523
Qtable's state : 45	 , action : East	,key's item : -2.6506232079428202
Qtable's state : 45	 , action : West	,key's item : -500.9240220177276
Qtable's state : 45	 , action : Stop	,key's item : -500.99953790169644
Qtable's state : 45	 , action : East	,key's item : -3.311067079704259
Qtable's state : 15	 , action : Stop	,key's item : -2.6682150996068437
Qtable's state : 15	 , action : East	,key's item : -2.6852130454153085
Qtable's state : 15	 , action : South	,key's item : -2.6731921116460704
Qtable's state : 15	 , action : Stop	,key's item : -2.633703747087486
Qtable's state : 15	 , action : East	,key's item : -2.6248774935167964
Qtable's state : 15	 , action : South	,key's item : -2.682118419902194
Qtable's state : 25	 , action : West	,key's item : -2.5236403741896005
Qtable's state : 25	 , action : Stop	,key's item : -2.577144157316145
